epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,259.03,1.65777,2.46991,1.23079,0.62329,0.84091,0.77046,0.41387,1.58924,2.20143,1.17257,0.00042,0.00042,0.00042
2,435.635,1.41109,1.22332,1.09616,0.79381,0.77273,0.83165,0.44704,1.58763,2.42583,1.112,0.000851486,0.000851486,0.000851486
3,573.778,1.56217,1.12344,1.15889,0.81672,0.52273,0.64949,0.32428,1.76112,1.61753,1.47571,0.00127426,0.00127426,0.00127426
4,738.83,1.49426,1.0656,1.18858,0.30799,0.68182,0.30328,0.13554,1.75962,4.35856,1.52875,0.00168832,0.00168832,0.00168832
5,875.872,1.44484,1.02031,1.21141,0.0135,0.27273,0.01081,0.00468,2.22535,34.4593,2.21515,0.0019208,0.0019208,0.0019208
6,1012.71,1.52293,1.06739,1.23834,0.73551,0.63212,0.59812,0.31263,1.90788,1.75313,1.55016,0.001901,0.001901,0.001901
7,1148.94,1.44963,1.00486,1.1964,0.84983,0.59091,0.64396,0.32131,1.88525,1.57438,1.4771,0.0018812,0.0018812,0.0018812
8,1284.57,1.45091,0.96661,1.2156,0.35933,0.63636,0.34668,0.16911,1.81338,1.84932,1.36672,0.0018614,0.0018614,0.0018614
9,1438.77,1.41504,0.91718,1.19255,0.11467,0.72727,0.10033,0.04363,1.72978,5.36338,1.45966,0.0018416,0.0018416,0.0018416
10,1574.81,1.4779,0.97702,1.24242,0.72503,0.84091,0.81055,0.43876,1.63978,1.09924,1.38408,0.0018218,0.0018218,0.0018218
11,1763.24,1.40125,0.94629,1.21379,0.75889,0.77273,0.84004,0.38765,1.81014,1.05604,1.40212,0.001802,0.001802,0.001802
12,1946.37,1.4176,0.89369,1.16437,0.79981,0.81818,0.8716,0.48796,1.52938,1.09422,1.26047,0.0017822,0.0017822,0.0017822
13,2082.63,1.34387,0.86949,1.14678,0.74581,0.84091,0.79583,0.40935,1.66988,1.1911,1.36101,0.0017624,0.0017624,0.0017624
