filepath,xmin,xmax,ymin,ymax
./data/all/N1.jpeg,1093,1396,645,727
./data/all/N100.jpeg,134,301,312,350
./data/all/N101.jpeg,31,139,128,161
./data/all/N102.jpeg,164,316,216,243
./data/all/N103.jpeg,813,1067,665,724
./data/all/N104.jpeg,66,154,166,197
./data/all/N105.jpeg,360,434,174,195
./data/all/N106.jpeg,137,262,249,290
./data/all/N107.jpeg,207,356,174,287
./data/all/N108.jpeg,184,342,220,257
./data/all/N109.jpeg,148,239,250,320
./data/all/N11.jpeg,131,187,130,144
./data/all/N110.jpeg,183,249,211,227
./data/all/N111.jpeg,80,239,364,402
./data/all/N112.jpeg,179,347,256,290
./data/all/N113.jpeg,39,108,129,157
./data/all/N114.jpeg,15,200,33,126
./data/all/N116.jpeg,157,316,226,278
./data/all/N117.jpeg,120,249,161,202
./data/all/N118.jpeg,532,852,636,706
./data/all/N119.jpeg,180,559,216,314
./data/all/N12.jpeg,976,1284,669,754
./data/all/N120.jpeg,647,736,332,387
./data/all/N121.jpeg,311,506,324,370
./data/all/N122.jpeg,342,494,243,288
./data/all/N123.jpeg,11,246,78,165
./data/all/N124.jpeg,165,328,276,324
./data/all/N126.jpeg,149,399,269,327
./data/all/N127.jpeg,24,142,209,245
./data/all/N128.jpeg,58,221,198,271
./data/all/N129.jpeg,301,504,351,402
./data/all/N130.jpeg,419,513,173,213
./data/all/N131.jpeg,198,349,107,143
./data/all/N132.jpeg,111,320,133,286
./data/all/N133.jpeg,795,1095,751,840
./data/all/N134.jpeg,230,365,188,219
./data/all/N135.jpeg,157,341,197,247
./data/all/N136.jpeg,787,910,473,513
./data/all/N137.jpeg,401,593,456,493
./data/all/N138.jpeg,36,465,64,168
./data/all/N139.jpeg,341,607,954,1011
./data/all/N14.jpeg,1058,1351,660,756
./data/all/N140.jpeg,346,423,197,221
./data/all/N141.jpeg,150,348,255,296
./data/all/N142.jpeg,66,174,234,259
./data/all/N143.jpeg,115,524,144,296
./data/all/N144.jpeg,39,177,201,275
./data/all/N145.jpeg,233,432,88,151
./data/all/N147.jpeg,424,613,548,591
./data/all/N148.jpeg,244,369,240,293
./data/all/N149.jpeg,186,324,116,148
./data/all/N15.jpeg,582,853,622,691
./data/all/N150.jpeg,172,372,97,143
./data/all/N151.jpeg,144,277,216,252
./data/all/N152.jpeg,265,725,247,347
./data/all/N153.jpeg,133,279,352,385
./data/all/N154.jpeg,106,245,157,196
./data/all/N155.jpeg,145,313,167,201
./data/all/N156.jpeg,49,106,230,249
./data/all/N158.jpeg,122,224,268,292
./data/all/N16.jpeg,887,1173,625,696
./data/all/N160.jpeg,153,251,196,217
./data/all/N162.jpeg,147,336,169,209
./data/all/N163.jpeg,230,316,203,231
./data/all/N164.jpeg,248,421,121,174
./data/all/N165.jpeg,186,374,290,335
./data/all/N166.jpeg,809,1034,246,295
./data/all/N167.jpeg,345,848,242,416
./data/all/N168.jpeg,271,474,514,561
./data/all/N169.jpeg,167,413,208,263
./data/all/N17.jpeg,88,216,507,556
./data/all/N170.jpeg,299,442,337,386
./data/all/N171.jpeg,13,444,137,270
./data/all/N172.jpeg,147,370,133,184
./data/all/N173.jpeg,80,335,150,243
./data/all/N174.jpeg,315,665,442,531
./data/all/N175.jpeg,183,250,205,229
./data/all/N176.jpeg,195,383,320,358
./data/all/N177.jpeg,331,538,263,317
./data/all/N178.jpeg,210,335,289,351
./data/all/N179.jpeg,203,297,217,240
./data/all/N18.jpeg,373,528,366,408
./data/all/N181.jpeg,361,499,381,432
./data/all/N183.jpeg,216,343,155,190
./data/all/N184.jpeg,229,1391,204,660
./data/all/N185.jpeg,321,559,420,484
./data/all/N186.jpeg,464,561,286,344
./data/all/N187.jpeg,572,839,461,535
./data/all/N188.jpeg,587,711,760,832
./data/all/N189.jpeg,178,381,121,181
./data/all/N19.jpeg,99,216,367,423
./data/all/N190.jpeg,896,1558,814,969
./data/all/N191.jpeg,317,568,319,397
